Narrative Title                                              Score           Hits      
------------------------------------------------------------ --------------- ----------
Stagflation Fears Intensify Amid Slowing Growth and Sticky   5.0004          43        
Stagflation risk as CPI sticks and labor market softens, p   4.7238          41        
Fed Rate‑Cut Expectations Amplify Consumer Spending, Press   1.9774          46        
Persistent Inflation Reshapes Consumer Spending Patterns     1.8498          87        
CATL lithium mine shutdown drags on EV battery supply        1.7980          12        
Disney’s Streaming and Parks Expansion Faces Execution Ris   1.3666          8         
Fed Rate Cuts Steepen Yield Curve, Boosting Banks            1.3324          9         
U.S. Semiconductor Tariffs Reshape AI Supply Chain           1.0571          3         
Tariffs on Industrial Materials Threaten Semiconductor Mar   1.0374          24        
US Semiconductor Tariffs Spike, Favoring Domestic Chipmake   0.7056          5         
Geopolitical Tensions Drive Defense Budget Expansion         0.6947          16        
Escalating Global Conflicts Drive Defense Budget Surges      0.6917          6         
Tariffs Disrupt Supply Chains, Impacting Semiconductor and   0.3475          9         
Trump’s 100% Semiconductor Tariffs Roil Global Supply Chai   0.3431          4         
Stock‑Market Wealth Effect Spurs Consumer Discretionary Ga   0.3396          1         
Federal Reserve Rate Cut Expectations Reshape Financials a   0.1692          46        
Climate Policy Uncertainty Shaping Energy Sector Sentiment   0.0083          5         
U.S. Tariff Policies and Tech Sector Volatility              0.0038          38        
AI Integration in Public Safety Drives Tech Demand           0.0000          0         
Defense Tech and Cybersecurity Budgets Expand                0.0000          0         
Data Center Expansion Fueling Semiconductor Demand           0.0000          10        
AI Innovation Drives Tech Sector Growth                      0.0000          33        
Geopolitical Tensions Drive Trade Policy Shifts and Sector   0.0000          1         
Semiconductor and Pharma Supply Chains Face Dual Regulator   0.0000          0         
Consumer Discretionary Sector Squeezed by Inflationary Cos   0.0000          0         
Economic Pressures Drive Consumer Shift to Value Retail an   0.0000          7         
Tesla's Robotaxi Expansion and Autonomous Driving Progress   0.0000          5         
Accelerating Data Center Expansion Driven by AI and Power    0.0000          2         
Federal Reserve Rate Cuts Signal Support for Economic Acti   0.0000          0         
Aluminum Tariffs Squeeze Beverage Margins                    0.0000          4         
Beverage Sector Struggles with Tariffs and Non-Alcoholic S   0.0000          6         
McDonald’s Leverages Value Menus to Combat Economic Anxiet   0.0000          2         
Cisco-NVIDIA Alliance Fuels Enterprise AI Infrastructure D   0.0000          20        
U.S. Semiconductor Onshoring Faces Regulatory and Logistic   0.0000          5         
Generative AI demand powers a multi‑year super‑cycle for A   0.0000          0         
AI‑driven public‑safety tech boom lifts chipmakers           0.0000          0         
U.S. defense budget expands amid heightened security threa   0.0000          0         
Consumer ESG consciousness reshapes retail and beverage ca   0.0000          0         
U.S. Eases Export Controls on High‑Bandwidth Memory for AI   0.0000          0         
US imposes 100% tariff on imported semiconductors, reshapi   0.0000          3         
Explosion of AI and data‑center spending fuels GPU and clo   0.0000          0         
AI Adoption Surge Fuels Cloud Spend and AI‑Accelerator Dem   0.0000          0         
Latin America e‑commerce and fintech surge                   0.0000          0         
Power‑generator demand surge amid extreme weather            0.0000          0         
Regulatory crackdown on disposable e‑cigarettes              0.0000          0         
Generative AI Fuels a Three‑Year Tech Bull Run               0.0000          0         
Pro‑energy & pro‑defense policies under the second Trump a   0.0000          0         
Accelerating corporate AI adoption fuels demand for AI‑acc   0.0000          0         
Rising delivery platform fees and supply‑chain tariffs squ   0.0000          0         
Redistricting Battles Heighten Political Risk, Steering Mo   0.0000          0         
US‑Russia peace talks raise stakes for oil sanctions         0.0000          0         
Escalating Israel‑Gaza conflict drives defense spending      0.0000          0         
Escalating Ukraine‑Russia conflict drives higher US defenc   0.0000          0         
Trump administration slashes mRNA vaccine research funding   0.0000          0         
Women’s sports media boom drives advertising spend           0.0000          0         
Oil price slump fuels short positions in energy stocks       0.0000          0         
Federal Reserve announces September rate cut despite stick   0.0000          0         
Tariff‑driven goods inflation squeezes hardware manufactur   0.0000          0         
Weak labor market depresses consumer discretionary, lifts    0.0000          0         
Surging Input Costs Squeeze Restaurant and Food Service Ma   -0.0040         13        
Accelerated AI Adoption in Enterprise Software and Semicon   -0.3351         34        
Non-Alcoholic Beverage Demand Offsets Alcohol Weakness       -0.3391         1         
US Tariff Relief for Domestic Chip Production Sparks Semic   -0.3417         1         
Supreme Court Threat to FTC Independence Reduces Regulator   -0.3419         7         
E-commerce Giants Weather Tariff Pressures                   -0.3421         4         
Escalating Trade Tariffs Disrupt Global Supply Chains        -0.3434         14        
Mortgage Giant Privatization Spurs Financial Sector Volati   -0.3449         2         
Escalating US-China Trade Tensions Drive Tech Supply Chain   -0.3470         6         
Federal Reserve Rate Cuts and Bank Sector Dynamics           -0.5184         44        
Fed cuts ahead of schedule as inflation eases                -0.6994         2         
Weak Consumer Sentiment Boosts Discount Retailers            -0.7076         29        
Persistently low oil prices pressure energy equities         -0.7941         3         
Threats to FTC Independence Reshape Tech Regulatory Risk     -1.0147         8         
Easing Monetary Policy to Fuel Tech & Consumer Discretiona   -1.0297         15        
Government Mortgage Exit Sparks Housing Market Uncertainty   -1.3639         18        
Sticky inflation forces the Fed to hold rates higher         -1.3641         4         
Accelerated Fed Rate Cuts to Stimulate Economic Activity     -2.4444         34        
Weakening macro data fuels expectations of Fed rate cuts,    -2.6087         61        
Fed likely to cut rates in September 2025                    -4.1134         19        
Federal Reserve Signals Rate Cuts After Moderating Inflati   -6.6098         26        
Fed Rate Cuts Boost Tech Growth, Pressure Financials         -6.8888         96        
